   R0625040000030324Instrumentos financieros                      
0590042501FUBSU-120600        00000000DPF100000000000099278SUDAMER
0590042501FUBSU-070600        00000000DPF100000000000099353SUDAMER
0615330000BRA3010707          19831231BRP500000000001273954INP    
0615330000BRA2140604          19821231BRP500000000001798807INP    
0615330000BRA2211205          19821231BRP500000000001720348INP    
0615330000BRA3050811          19831231BRP500000000001121455INP    
0615330000BR71201206          19810831BRP500000000002158466INP    
0615330000BR32210111          19820430BRP500000000001793113INP    
0615330000BR16030804          19860228BRP500000000000796407INP    
0615330000BR02010607          19821130BRP500000000001703710INP    
0615330000BR01111202          19811130BRP500000000002366893INP    
0615330000BR01100907          19811130BRP500000000002041244INP    
0615330000BR14280608          19840229BRP500000000001218263INP    
0615330000BR01181212          19811130BRP500000000001731624INP    
0615330000BR01190608          19811130BRP500000000001989775INP    
0615330000BR01110109          19811130BRP500000000001956508INP    
0615330000BR15250708          19850228BRP500000000000921977INP    
0615330000AE41011008          19810531BRP500000000002107391INP    
0615330000BR02060303          19821130BRP500000000001944378INP    
0615330000BR01070912          19811130BRP500000000001748913INP    
0615330000BR04070401          19841130BRP500000000001232167INP    
0615330000BR01290908          19811130BRP500000000001976639INP    
0615330000BR01231102          19811130BRP500000000002375024INP    
0615330000BR01180902          19811130BRP500000000002381952INP    
0615330000BR04250206          19841130BRP500000000001061577INP    
0615330000BE61100405          19810731BRP500000000002298558INP    
0615330000BR01211103          19811130BRP500000000002304969INP    
0615330000BR01161101          19811130BRP500000000002438401INP    
0615330000BR01220903          19811130BRP500000000002316524INP    
0615330000BR01110503          19811130BRP500000000002338098INP    
0615330000BR01210502          19811130BRP500000000002398770INP    
0615330000BR01160710          19811130BRP500000000001866719INP    
0615330000BR04150903          19841130BRP500000000001144600INP    
0615330000BR01160206          19811130BRP500000000002141042INP    
0615330000BR01170901          19811130BRP500000000002451119INP    
0615330000BE63050202          19830731BRP500000000001697193INP    
0615330000BR01220401          19811130BRP500000000002481781INP    
0615330000BR01151007          19811130BRP500000000002034131INP    
0615330000BR01170209          19811130BRP500000000001949093INP    
0615330000BR01150603          19811130BRP500000000002330174INP    
0615330000BR02031103          19821130BRP500000000001905787INP    
0615330000AE41100506          19810531BRP500000000002269339INP    
0615330000BR01031105          19811130BRP500000000002163207INP    
0615330000BEA3231101          19831231BRP500000000001513872INP    
0615330000BR01310510          19811130BRP500000000001877167INP    
0615330000BR01020905          19811130BRP500000000002174972INP    
0615330000BR01301009          19811130BRP500000000001911146INP    
0615330000BR01010105          19811130BRP500000000002220255INP    
0615330000BR01140505          19811130BRP500000000002193050INP    
0615330000BR01060203          19811130BRP500000000002356936INP    
0615330000BR01080904          19811130BRP500000000002240519INP    
0615330000BE51270512          19810630BRP500000000001853075INP    
0615330000BR01100501          19811130BRP500000000002481255INP    
0615330000BR00130203          19901130BRP500000000000290170INP    
0615330000BR01080603          19811130BRP500000000002333283INP    
0615330000BE51120908          19810630BRP500000000002073737INP    
0615330000BR01070605          19811130BRP500000000002190128INP    
0615330000BE4B300507          19920531BRP500000000000194267INP    
0615330000BR01011001          19811130BRP500000000002452374INP    
0615330000BE41280404          19810531BRP500000000002419233INP    
0615330000BR01050902          19811130BRP500000000002387859INP    
0615330000BR01020411          19811130BRP500000000001829670INP    
0615330000BR01030113          19811130BRP500000000001732063INP    
0615330000BR01010404          19811130BRP500000000002273015INP    
0615330000BE12280808          19820228BRP500000000001936033INP    
0615330000BA61080103          19810731BRP500000000002468095INP    
0615330000AE91201001          19811031BRP500000000002459035INP    
0615330000AE71240410          19810831BRP500000000001950133INP    
0615330000AE51290704          19810630BRP500000000002361219INP    
0615330000AE41151101          19810531BRP500000000002601369INP    
0615330000AE51051203          19810630BRP500000000002412202INP    
0615330000AE32221201          19820430BRP500000000002373278INP    
0615330000BR71200703          19810831BRP500000000002403118INP    
0615330000BR51230603          19810630BRP500000000002448431INP    
0615330000BR22270605          19820331BRP500000000002147458INP    
0615330000BR08300409          19881130BRP500000000000409737INP    
0615330000BR41140902          19810531BRP500000000002542266INP    
0615330000BR33290908          19830430BRP500000000001481636INP    
0615330000BR32230906          19820430BRP500000000002051880INP    
0615330000BR22040409          19820331BRP500000000001907688INP    
0615330000BR51031113          19810630BRP500000000001771196INP    
0615330000BR41261008          19810531BRP500000000002104185INP    
0615330000BR41170801          19810531BRP500000000002621203INP    
0615330000BR41060713          19810531BRP500000000001818376INP    
0615330000BR41300110          19810531BRP500000000002022438INP    
0615330000BR13150605          19830228BRP500000000001682900INP    
0615330000BR41100712          19810531BRP500000000001874011INP    
0615330000BR34110606          19840430BRP500000000001258765INP    
0615330000BR52110608          19820630BRP500000000001940356INP    
0615330000BR01270705          19811130BRP500000000002183386INP    
0615330000BR41061007          19810531BRP500000000002173273INP    
0615330000BR41031208          19810531BRP500000000002095717INP    
0615330000BR41061103          19810531BRP500000000002457675INP    
0615330000BR12230904          19820228BRP500000000002188929INP    
0615330000BR32290608          19820430BRP500000000001939743INP    
0615330000BR22190204          19820331BRP500000000002240570INP    
0615330000BR51161208          19810630BRP500000000002056432INP    
0615330000BR33030104          19830430BRP500000000001719409INP    
0615330000BR49181205          19890531BRP500000000000411457INP    
0615330000BR41060902          19810531BRP500000000002546144INP    
0615330000BR48111005          19880531BRP500000000000487387INP    
0615330000BR41230110          19810531BRP500000000002025162INP    
0615330000BR41260703          19810531BRP500000000002481728INP    
0615330000BR32301003          19820430BRP500000000002246685INP    
0615330000BR51100709          19810630BRP500000000002021940INP    
